identificador,nro_apto,nro_torre,dimension,indice_copropiedad,identificador_propietario
212,264,8,61,9.15,381-76-1202
213,212,1,90,13.5,873-81-1112
214,38,1,72,10.8,215-99-1126
215,43,4,93,13.95,569-31-3227
216,20,10,87,13.05,437-23-8579
217,70,8,66,9.9,107-58-2272
218,5,1,62,9.3,305-05-5636
219,48,3,87,13.05,464-92-5081
220,159,9,69,10.35,518-64-9259
221,57,9,86,12.9,794-18-2562
222,140,4,56,8.4,541-68-5064
223,168,1,71,10.65,604-65-3620
224,222,4,57,8.55,121-36-5068
225,187,6,96,14.4,298-02-6234
226,252,2,85,12.75,477-94-6586
227,39,7,64,9.6,380-55-3757
228,119,3,65,9.75,597-35-7209
229,177,7,59,8.85,257-77-7789
230,52,8,83,12.45,285-44-8330
231,95,2,54,8.1,437-23-8579
232,195,3,61,9.15,516-50-0973
233,14,5,77,11.55,201-09-4452
234,141,8,99,14.85,694-48-6504
235,269,6,56,8.4,860-92-7309
236,78,2,66,9.9,637-25-7617
237,223,8,97,14.55,225-43-2082
238,108,10,67,10.05,420-13-1126
239,153,7,56,8.4,771-94-7915
240,100,4,53,7.95,673-96-8318
241,208,4,95,14.25,600-24-5266
242,263,2,55,8.25,201-09-4452
243,26,3,80,12,221-20-4763
244,104,6,95,14.25,140-62-8284
245,247,7,95,14.25,631-01-3978
246,176,8,84,12.6,221-20-4763
247,201,10,59,8.85,535-42-7530
248,120,6,57,8.55,859-38-9483
249,244,10,74,11.1,855-72-9964
250,25,1,95,14.25,819-49-2288
251,83,10,93,13.95,609-61-9146
252,121,9,95,14.25,220-72-3736
253,49,1,80,12,836-19-6114
254,285,10,86,12.9,537-34-9997
255,138,9,59,8.85,500-16-8185
256,132,10,80,12,528-45-5109
257,139,2,52,7.8,819-49-2288
258,136,10,84,12.6,293-90-3911
259,15,8,78,11.7,413-18-9618
260,32,7,70,10.5,402-86-2607
261,77,1,68,10.2,387-33-0283
262,234,7,68,10.2,122-95-3678
263,68,1,67,10.05,225-65-9370
264,181,4,98,14.7,875-09-2741
265,42,9,57,8.55,500-16-8185
266,231,2,79,11.85,891-65-2250
267,12,5,59,8.85,140-50-8778
268,13,9,51,7.65,466-89-3583
269,190,1,60,9,804-79-9539
270,276,10,54,8.1,185-07-9534
271,272,2,83,12.45,359-67-1905
272,151,2,69,10.35,873-81-1112
273,281,5,90,13.5,443-95-5244
274,105,5,71,10.65,385-72-7656
275,36,10,51,7.65,569-31-3227
276,58,9,85,12.75,637-74-9391
277,19,1,68,10.2,285-38-4293
278,59,9,65,9.75,107-58-2272
279,129,3,85,12.75,249-32-0164
280,28,2,80,12,834-55-8921
281,268,3,53,7.95,724-32-2944
282,114,9,59,8.85,604-65-3620
283,191,3,63,9.45,486-27-5944
284,161,3,60,9,268-63-7007
285,250,4,91,13.65,875-18-8135
286,192,6,85,12.75,201-81-7985
287,253,10,55,8.25,477-94-6586
288,213,4,95,14.25,518-90-8628
289,167,2,57,8.55,280-92-4575
290,89,5,90,13.5,257-77-7789
